,source,target,weight
0,Jimmy,Kyle,67
1,Butters,Kyle,12
2,Announcer,Kyle,8
3,Cartman,Kyle,53
4,Announcer,Butters,6
5,Butters,Cartman,6
6,Announcer,Cartman,4
7,Prince,Terrance,24
8,Minister,Prince,64
9,Phillip,Prince,36
10,Minister,Terrance,36
11,Phillip,Terrance,26
12,Minister,Phillip,44
13,Randy,Stan,38
14,Randy,Sharon,5
15,Kyle,Stan,40
16,Cartman,Stan,26
17,Kenny,Stan,12
18,Kenny,Kyle,18
19,Cartman,Kenny,10
20,Boy,Jimmy,14
21,Boy,Kyle,12
22,Boy,Kenny,2
23,Boy,Cartman,4
24,Jimmy,Kenny,7
25,Cartman,Jimmy,22
26,Marvin,Randy,11
27,Marvin,Stan,9
28,Jimmy,Stan,8
29,Satan,Stan,62
30,Beelzeboot,Phillip,10
31,Beelzeboot,Terrance,6
32,Beelzeboot,Minister,4
33,Beelzeboot,Prince,2
34,Stan,Voice notification,4
35,Announcer,Stan,4
36,Satan,Voice notification,5
37,Announcer,Satan,5
38,Announcer,Voice notification,1
39,Sharon,Stan,1
40,Beelzeboot,NC 9 reporter,8
41,Beelzeboot,Satan,12
42,Beelzeboot,Canadian,4
43,NC 9 reporter,Satan,6
44,NC 9 reporter,Phillip,2
45,Canadian,NC 9 reporter,2
46,Phillip,Satan,3
47,Canadian,Satan,3
48,Canadian,Phillip,1
