,source,target,weight
0,Randy,Sharon,58
1,Sharon,Stan,59
2,Sharon,Shelly,10
3,Randy,Stan,111
4,Randy,Shelly,16
5,Shelly,Stan,13
6,Boy,Randy,3
7,Randy,Shopper,10
8,Shopper,Stan,2
9,Sharon,Shopper,2
10,Cartman,Kenny,18
11,Butters,Cartman,8
12,Cartman,Jimmy,4
13,Butters,Kenny,3
14,Jimmy,Kenny,1
15,Butters,Jimmy,2
16,Kyle,Stan,99
17,Kenny,Stan,25
18,Cartman,Stan,47
19,Kyle,Sharon,30
20,Kenny,Sharon,5
21,Cartman,Sharon,5
22,Kyle,Randy,51
23,Kenny,Randy,10
24,Cartman,Randy,7
25,Kyle,Shelly,6
26,Kenny,Shelly,1
27,Cartman,Shelly,1
28,Kenny,Kyle,18
29,Cartman,Kyle,28
30,Stan,The boys,3
31,Cartman,The boys,8
32,Kyle,The boys,1
33,Kenny,The boys,1
34,Cartman,Sgt. Yates,6
35,Officer,Sgt. Yates,2
36,Cartman,Officer,1
37,Kyle,Sgt. Yates,21
38,Sgt. Yates,Stan,31
39,Kenny,Sgt. Yates,7
40,Butters,Stan,9
41,Mr. Garrison,Stan,2
42,Mr. Garrison,Randy,2
43,Randy,Sgt. Yates,9
44,Butters,Randy,3
45,Butters,Sgt. Yates,3
46,Butters,Kyle,3
